name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
American Philosophical Quarterly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0125,0.0125,0.022023809523809522,0.04107142857142857,0.03809523809523809,0.048095238095238094,0.048095238095238094,0.03857142857142857,0.030050125313283205,0.05210526315789473,0.04979757085020243,0.04979757085020243,0.09146423751686909,0.09270262760974834,0.06112368024132729,0.06343137254901961,0.1009313725490196,0.05926470588235294,0.06654761904761905,0.07765873015873015,0.06765873015873017,0.04554334554334554,0.06554334554334554,0.08285936285936286,0.11385351490614651,0.14718684823947983,0.16709635050192326,0.15762266629139696,0.1337590299277606,0.12498710010319918,0.10415376676986583,0.06885964912280702,0.09166666666666665,0.07916666666666666,0.04583333333333333,0.1,0.1769230769230769,0.158974358974359,0.2446886446886447,0.2446886446886447,0.18754578754578755,0.13062271062271064,0.11523809523809522,0.029523809523809525,0.029523809523809525
Analysis,0.0,0.0,0.0,0.02272727272727273,0.05818181818181819,0.05818181818181819,0.08040404040404041,0.10540404040404042,0.08722222222222223,0.04722222222222222,0.06540404040404041,0.04318181818181819,0.029946524064171125,0.029946524064171125,0.029946524064171125,0.011764705882352943,0.011764705882352943,0.0,0.02,0.0325,0.0325,0.042023809523809526,0.05071946169772257,0.030719461697722567,0.018219461697722567,0.03927209327666993,0.05641495041952708,0.06310391363022942,0.06310391363022942,0.0768970170785053,0.06384438549955791,0.04517771883289125,0.05479310344827586,0.07584573502722322,0.07743724696356276,0.07943724696356276,0.07143724696356275,0.06072296124927703,0.047362637362637364,0.039120879120879117,0.03500323206205559,0.04106383812266165,0.03889933595815949,0.04584117460731522,0.05997491320913891,0.06742589360129578,0.07636528754068973,0.08057060603172249,0.08358351851378851,0.08452914499132987,0.1003624783246632,0.10396712948745387,0.09694292445660434,0.09683972528219773,0.11692519536766781,0.10662645322930304,0.10762964520376725,0.11314213443718671,0.11464589383568295,0.09079973998952912,0.07818181546122722,0.08296421622641134
Apeiron: A Journal for Ancient Philosophy and Science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.06666666666666667,0.06666666666666667,0.16666666666666666,0.16666666666666666,0.24666666666666667,0.22999999999999998,0.22999999999999998,0.16333333333333333,0.2833333333333333,0.2033333333333333,0.2533333333333333,0.2866666666666667,0.2783333333333334,0.15833333333333333,0.15833333333333333,0.15833333333333333,0.125,0.13999999999999999,0.1733333333333333,0.1733333333333333,0.13999999999999999,0.13999999999999999,0.1,0.06666666666666667,0.06666666666666667,0.0,0.0
Business & Professional Ethics Journal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.04871794871794872,0.06121794871794872,0.10566239316239316,0.15566239316239316,0.1509004884004884,0.16884920634920636,0.15634920634920635,0.14523809523809522,0.11523809523809522,0.1088888888888889,0.10055555555555555,0.1321345029239766,0.11418578497525866,0.13054942133889502,0.14362131676373163,0.1471927453351602,0.13783602018896138,0.14245140480434598,0.16762622997917115,0.21566544566544565,0.3013797313797314,0.3624908424908425,0.3660202542555484,0.3360607400855079,0.35272740675217457,0.23844169246646024,0.15510835913312693,0.13157894736842107,0.1,0.0
Business Ethics Quarterly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.06335403726708073,0.09365706757011102,0.13225355879818118,0.1510035587981812,0.16687657467119707,0.14974102479907433,0.14166021671826626,0.13639705882352943,0.15635673624288424,0.15635673624288426,0.17096774193548386,0.22147279244053436,0.21591723688497882,0.23054089279895731,0.1860964483545129,0.15383838383838383,0.0811111111111111,0.05333333333333333,0.0
Canadian Journal of Philosophy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04444444444444444,0.05873015873015872,0.073015873015873,0.09406850459482037,0.11806850459482036,0.07362406015037594,0.06986466165413532,0.1000233918128655,0.11230409356725146,0.1327485380116959,0.17890238416554208,0.1683760683760684,0.15726495726495726,0.12393162393162394,0.10805860805860808,0.06190476190476191,0.0869047619047619,0.07175324675324676,0.07175324675324676,0.08762626262626264,0.11262626262626263,0.11619769119769119,0.11801587301587302,0.21801587301587305,0.19357142857142856,0.23523809523809525,0.20666666666666664,0.18666666666666668,0.08666666666666667,0.09166666666666666,0.025,0.025,0.065,0.08722222222222223,0.0776068376068376,0.0776068376068376,0.0776068376068376,0.037606837606837605
Classical Philology,0.0,0.0,0.0,0.019230769230769232,0.02967032967032967,0.02967032967032967,0.05189255189255189,0.06617826617826617,0.050793650793650794,0.05189255189255189,0.06855921855921855,0.04633699633699634,0.03205128205128205,0.06841491841491842,0.06414141414141414,0.05858585858585859,0.0696969696969697,0.10606060606060608,0.09191919191919193,0.0808080808080808,0.09074960127591707,0.11963849016480595,0.11660818713450291,0.12515519568151148,0.1584885290148448,0.16600732600732598,0.14705995758627338,0.1347792558318874,0.14401002506265664,0.1342061034940292,0.1291640866873065,0.13969040247678016,0.17419332645338836,0.1437171359771979,0.1355723395971074,0.12256924362187518,0.09099029625345414,0.05081935608251398,0.06986697513013303,0.08448235974551763,0.10925016160310279,0.14561379796673918,0.20391339310843953,0.2279735434843794,0.25511640062723656,0.2323222829801777,0.25478217602830605,0.2310979655019903,0.24000484809308337,0.24000484809308337,0.2906627428299255,0.27183921341816075,0.27898207056101787,0.26030075187969925,0.21744360902255638,0.2542857142857143,0.2587301587301587,0.2015873015873016,0.2253968253968254,0.2511111111111111,0.1511111111111111,0.10666666666666666
Critical Inquiry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333336,0.06850574712643678,0.10554278416347382,0.12268564130633097,0.12268564130633097,0.12699936679652707,0.12896981014628076,0.13064245052859852,0.13572181560796365,0.1702045742286533,0.19871136155897,0.1827449750043482,0.20514640869610448,0.2614956150453108,0.26803849745026215,0.24966242907419378,0.25515262515262516,0.27585969585969583,0.27728826728826733,0.2881144781144781,0.36033670033670034,0.3752084952084952,0.3253903133903134,0.33705698005698004,0.3666866096866097,0.330972323972324,0.3194338624338624,0.3344926859632742,0.3128260192966075,0.2956302521008403,0.2661271465107782,0.27766560804923973,0.3124249663380098,0.2852821091951526,0.2755418494548929,0.2407592407592408,0.17922077922077922
Erkenntnis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02222222222222222,0.06222222222222222,0.0765079365079365,0.0765079365079365,0.11287157287157287,0.123982683982684,0.10898268398268399,0.1052232854864434,0.1052232854864434,0.0870414673046252,0.05370813397129187,0.02870813397129187,0.03636363636363637,0.049696969696969705,0.043279857397504465,0.08613700025464732,0.10431881843646551,0.10518461930226637,0.09185128596893302,0.09008658008658008,0.06151515151515152,0.06942028985507245,0.05037267080745341,0.0677639751552795,0.08633540372670807,0.08316080055210488,0.07612146307798481,0.0866477788674585,0.09592314118629908,0.07568504594820384,0.09457393483709273,0.09552631578947368,0.10852941176470587,0.11263197586726999,0.125351274112884,0.09535127411288402
Ethical Theory and Moral Practice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.06666666666666667,0.11929824561403508,0.15566188197767145,0.22566188197767145,0.2589952153110048,0.1923285486443381
